"id","title","author","issue","volume","venue","page","pub_date","type","publisher","editor"
"meta:br/0601411 doi:10.24351/78069","First Records Of Fish Species At The Chesterfield-Bellona Reef Complex In The Coral Sea Marine Park","Pelletier, Dominique [meta:ra/06209148 orcid:0000-0003-2420-1942]; Powell, Abigail [meta:ra/0609259]; Roman, William [meta:ra/0609260]; Carpentier, Liliane [meta:ra/0609261]","","","","","2021","book","Ifremer [meta:ra/0609262]",""
"meta:br/0601565 doi:10.5281/zenodo.5220714","A Guidebook To Building Permeable Classroom Walls In Secondary Schools","Billingsley, Berry [meta:ra/069029005 orcid:0000-0002-7974-4904]; Lawson, Finley I. [meta:ra/062403716109 orcid:0000-0001-8506-4836]","","","","","2020-09-08","book","Zenodo [meta:ra/0609844]",""
"meta:br/0601433 doi:10.24351/81752","Restauration Écologique De L'Huître Plate (Ostrea Edulis) En Rade De Brest","Pouvreau, Stéphane [meta:ra/062607893 orcid:0000-0003-2402-7366]","","","","","2021","book","Ifremer [meta:ra/0609344]",""
"meta:br/0601611 doi:10.5281/zenodo.3696833","Mit Der Klasse Umgehen: Anforderungen Zur Klassenführung Unter Berufsphasenspezifischer Perspektive","Keller-Schneider, Manuela [meta:ra/062093034 orcid:0000-0002-4442-2825]","","","[meta:br/0602333 isbn:9783384015440]","","2015-10-01","book chapter","Zenodo [meta:ra/0609996]",""
"meta:br/0601207 doi:10.13155/34118","Habitats Particuliers Du Bathyal Et De L’Abyssal / SRM MO","Fabri, Marie-Claire [meta:ra/06309375 orcid:0000-0002-3505-7627]; Pedel, Laura [meta:ra/0608497]","","","","","2012","book","Ifremer [meta:ra/0608498]",""
"meta:br/0601935 doi:10.4230/lipics.mfcs.2021.45","A Cubic Vertex-Kernel For Trivially Perfect Editing","Dumas, Maël [meta:ra/06011115]; Perez, Anthony [meta:ra/06011116]; Todinca, Ioan [meta:ra/06011117]","","","[meta:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/06011118]","Bonchi, Filippo [meta:ra/06011119]; Puglisi, Simon [meta:ra/063035032 orcid:0000-0001-7668-7636]"
"meta:br/0601722 doi:10.4230/lipics.isaac.2020.38","Linear-Time Algorithms For Computing Twinless Strong Articulation Points And Related Problems","Georgiadis, Loukas [meta:ra/0614045823 orcid:0000-0002-9706-7409]; Kosinas, Evangelos [meta:ra/06010389]","","","[meta:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/06010390]","Cao, Yixin [meta:ra/0617014652 orcid:0000-0002-6927-438X]; Cheng, Siu-Wing [meta:ra/0612046006 orcid:0000-0002-3557-9935]; Li, Minming [meta:ra/061409212 orcid:0000-0002-7370-6237]"
"meta:br/0601049 doi:10.4230/lipics.icalp.2020.9","The Power Of Many Samples In Query Complexity","Bassilakis, Andrew [meta:ra/0607855]; Drucker, Andrew [meta:ra/0607856]; Göös, Mika [meta:ra/0607857]; Hu, Lunjia [meta:ra/0607858]; Ma, Weiyun [meta:ra/0607859]; Tan, Li-Yang [meta:ra/0607860]","","","[meta:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0607861]","Artur Czumaj [meta:ra/0607590 orcid:0000-0002-7743-438X]; Dawar, Anuj [meta:ra/067073847 orcid:0000-0003-4014-8248]; Merelli, Emanuela [meta:ra/068015430 orcid:0000-0002-1321-4134]"
"meta:br/0601724 doi:10.4230/lipics.isaac.2020.42","Multiparty Selection","Chen, Ke [meta:ra/0611049454 orcid:0000-0001-5470-6621]; Dumitrescu, Adrian [meta:ra/0617014624 orcid:0000-0002-1118-0321]","","","[meta:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/06010394]","Cao, Yixin [meta:ra/0617014652 orcid:0000-0002-6927-438X]; Cheng, Siu-Wing [meta:ra/0612046006 orcid:0000-0002-3557-9935]; Li, Minming [meta:ra/061409212 orcid:0000-0002-7370-6237]"
"meta:br/0601604 doi:10.5281/zenodo.3923562","Unterrichten: Ein Leitfaden Für Die Praxis – Einführung Und Kapitel 1-2","Städeli, Christoph [meta:ra/0609975]; Caduff, Claudio [meta:ra/0609976]","","","[meta:br/0602330 isbn:9783035512410]","","2019-05-01","book chapter","Zenodo [meta:ra/0609977]",""
"meta:br/0601313 doi:10.13155/60438","Argo-France. Evolution 2010-2013","Thierry, Virginie [meta:ra/06209350 orcid:0000-0003-1602-6478]","","","","","2010","book","Argo-France [meta:ra/0608917]",""
"meta:br/0601295 doi:10.13155/57198","DBCP Drifting Buoys GDAC Data Management Report 2018","Carval, Thierry [meta:ra/06209568 orcid:0000-0003-2700-4020]; Ouellet, Mathieu [meta:ra/0608863 orcid:0000-0002-6186-0018]; Gaboury, Isabelle [meta:ra/0608864]; Emzivat, Gilbert [meta:ra/0608865]","","","","","2018","book","Ifremer [meta:ra/0608866]",""
"meta:br/0601770 doi:10.4230/lipics.itcs.2021.10","The Strongish Planted Clique Hypothesis And Its Consequences","Manurangsi, Pasin [meta:ra/06010591]; Rubinstein, Aviad [meta:ra/06010592]; Schramm, Tselil [meta:ra/0619086142 orcid:0000-0002-8494-5778]","","","[meta:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/06010593]","Lee, James R. [meta:ra/06010594]"
"meta:br/0601461 doi:10.5281/zenodo.2669622","Vasijas Que Cuentan Historias. La Cerámica De El Sunchal, Anfama","Franco, Francisco [meta:ra/0617018798 orcid:0000-0003-2888-9502]","","","","","2019-05-01","book","Zenodo [meta:ra/0609401]",""
"meta:br/0601995 doi:10.4230/lipics.sea.2020.22","Variable Shift SDD: A More Succinct Sentential Decision Diagram","Nakamura, Kengo [meta:ra/06011315 orcid:0000-0002-9615-3479]; Denzumi, Shuhei [meta:ra/06908204700 orcid:0000-0002-0794-4157]; Nishino, Masaaki [meta:ra/06011316 orcid:0000-0001-6489-5446]","","","[meta:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/06011317]","Faro, Simone [meta:ra/0622065545 orcid:0000-0001-5937-5796]; Cantone, Domenico [meta:ra/0626013218 orcid:0000-0002-1306-1166]"
"meta:br/0601702 doi:10.4230/lipics.isaac.2020.10","Approximation Algorithms For Generalized Path Scheduling","Pang, Haozhou [meta:ra/06010317]; Salavatipour, Mohammad R. [meta:ra/06010318]","","","[meta:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/06010319]","Cao, Yixin [meta:ra/0617014652 orcid:0000-0002-6927-438X]; Cheng, Siu-Wing [meta:ra/0612046006 orcid:0000-0002-3557-9935]; Li, Minming [meta:ra/061409212 orcid:0000-0002-7370-6237]"
"meta:br/0601146 doi:10.4230/lipics.icalp.2021.92","Minimum Stable Cut And Treewidth","Lampis, Michael [meta:ra/067094490 orcid:0000-0002-5791-0887]","","","[meta:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0608216]","Bansal, Nikhil [meta:ra/0608217]; Merelli, Emanuela [meta:ra/068015430 orcid:0000-0002-1321-4134]; Worrell, James [meta:ra/0614045783 orcid:0000-0001-8151-2443]"
"meta:br/0601361 doi:10.13155/77211","SeaDataCloud Temperature And Salinity Historical Data Collection For The Black Sea (Version 2)","Myroshnychenko, Volodymyr [meta:ra/0609113]","","","","","2020","book","SeaDataCloud [meta:ra/0609114]",""
"meta:br/0601366 doi:10.13155/77512","SeaDataCloud Temperature And Salinity Climatologies For The Global Ocean (Version 2)","Shahzadi, Kanwal [meta:ra/0609121]; Pinardi, Nadia [meta:ra/06209233 orcid:0000-0003-4765-0775]; Lyubartsev, Vladislav [meta:ra/0609122]; Zavatarelli, Marco [meta:ra/0609123]; Simoncelli, Simona [meta:ra/06209188 orcid:0000-0003-1283-2798]","","","","","2020","book","SeaDataCloud [meta:ra/0609124]",""
"meta:br/0601065 doi:10.4230/lipics.icalp.2021.116","Dynamic Membership For Regular Languages","Amarilli, Antoine [meta:ra/061507819729 orcid:0000-0002-7977-4441]; Jachiet, Louis [meta:ra/0607906]; Paperman, Charles [meta:ra/06902319720 orcid:0000-0002-6658-5238]","","","[meta:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0607907]","Bansal, Nikhil [meta:ra/0607908]; Merelli, Emanuela [meta:ra/068015430 orcid:0000-0002-1321-4134]; Worrell, James [meta:ra/0614045783 orcid:0000-0001-8151-2443]"
"meta:br/0601677 doi:10.5281/zenodo.4382090","«Manchmal Werfe Ich Mitten Im Satz Einen Blick Auf Die Bilder...» – Eine Andere Art Des Lesens: Ergebnisse Aus Dem Projekt «Reading Graphic Novels In The EFL Classroom»","Mayer, Nikola [meta:ra/06010257]","","","Babylonia Journal Of Language Education [meta:br/061903473950 issn:1420-0007 issn:2673-6454]","","2020-09-08","journal article","Zenodo [meta:ra/06010258]",""
"meta:br/0601201 doi:10.13155/32710","Brève Introduction À La Fouille De Grandes Bases De Données Océaniques","Maze, Guillaume [meta:ra/0615016592 orcid:0000-0001-7231-2095]; Mercier, Herlé [meta:ra/061407997 orcid:0000-0002-1940-617X]; Fablet, Ronan [meta:ra/0608453]; Lenca, Philippe [meta:ra/0608454]; Piolle, Jean-Francois [meta:ra/0608455]","","","","","2014","book","Ifremer [meta:ra/0608456]",""
"meta:br/0601290 doi:10.13155/57036","SeaDataCloud Temperature And Salinity Historical Data Collection For The Mediterranean Sea (Version 1)","Simoncelli, Simona [meta:ra/06209188 orcid:0000-0003-1283-2798]; Myroshnychenko, Volodymyr [meta:ra/0608852]; Coatanoan, Christine [meta:ra/06209395 orcid:0000-0001-9387-1793]","","","","","2018","book","SeaDataCloud [meta:ra/0608853]",""
"meta:br/0601507 doi:10.5281/zenodo.4292499","Alula Framework For Inclusive Community Development Through Tourism. Developed By UNWTO And The G20 Tourism Working Group On The Occasion Of The 2020 G20 Presidency","World Tourism Organization [meta:ra/0609510]; Center For The Governance Of Change [meta:ra/0609511]; University Of Surrey [meta:ra/0609512]","","","","","2020-10-01","book","Zenodo [meta:ra/0609513]",""
"meta:br/0601136 doi:10.4230/lipics.icalp.2021.79","Analysis Of Smooth Heaps And Slim Heaps","Hartmann, Maria [meta:ra/0608178]; Kozma, László [meta:ra/0608179]; Sinnamon, Corwin [meta:ra/06102398375 orcid:0000-0003-0280-9498]; Tarjan, Robert E. [meta:ra/0608180]","","","[meta:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0608181]","Bansal, Nikhil [meta:ra/0608182]; Merelli, Emanuela [meta:ra/068015430 orcid:0000-0002-1321-4134]; Worrell, James [meta:ra/0614045783 orcid:0000-0001-8151-2443]"
"meta:br/0601647 doi:10.12759/hsr.46.2021.1.59-84","Das Targeting Von „Lifestyle“-Bedingungen. Welche Rechtfertigungen Für Die Behandlung?","Batifoulier, Philippe [meta:ra/06010106 orcid:0000-0002-2989-9174]; Braddock, Louise [meta:ra/06010111]; Duchesne, Victor [meta:ra/06808705559 orcid:0000-0002-1089-1041]; Ghirardello, Ariane [meta:ra/06010112]; Latsis, John [meta:ra/06010113]","","","<P>Historical Social Research / Historische Sozialforschung Vol. 45 [meta:br/0602344 issn:0172-6404]","Volumes per year: 1</p>-Volumes per year: 1</p>","2021","report","Gesis - Leibniz-Institut Für Sozialwissenschaften [meta:ra/06010114]","GESIS-Leibniz-Institut Für Sozialwissenschaften [meta:ra/06010115]"
"meta:br/0601929 doi:10.4230/lipics.mfcs.2021.37","On The Relative Power Of Linear Algebraic Approximations Of Graph Isomorphism","Dawar, Anuj [meta:ra/067073847 orcid:0000-0003-4014-8248]; Vagnozzi, Danny [meta:ra/06011100]","","","[meta:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/06011101]","Bonchi, Filippo [meta:ra/06011102]; Puglisi, Simon [meta:ra/063035032 orcid:0000-0001-7668-7636]"
"meta:br/0601971 doi:10.4230/lipics.opodis.2020.18","Locally Solvable Tasks And The Limitations Of Valency Arguments","Attiya, Hagit [meta:ra/0614045824 orcid:0000-0002-8017-6457]; Castañeda, Armando [meta:ra/06011231]; Rajsbaum, Sergio [meta:ra/0618037502 orcid:0000-0002-0009-5287]","","","[meta:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/06011232]","Bramas, Quentin [meta:ra/0625071919 orcid:0000-0003-0612-5616]; Oshman, Rotem [meta:ra/06011233]; Romano, Paolo [meta:ra/06906792 orcid:0000-0001-7026-7446]"
"meta:br/0601224 doi:10.13155/39856","Correspondance De L'Échantillonnage Entre Le Programme D'Observation À La Mer (ObsMer 2003-2015) Et La Campagne EVHOE (1997-2014) Dans Le Golfe De Gascogne Et La Mer Celtique","Delaunay, Damien [meta:ra/0608589]","","","","","2015","book","Ifremer [meta:ra/0608590]",""
"meta:br/0601911 doi:10.4230/lipics.mfcs.2021.16","Ideal Membership Problem For Boolean Minority And Dual Discriminator","Bharathi, Arpitha P. [meta:ra/06011040]; Mastrolilli, Monaldo [meta:ra/06011041]","","","[meta:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/06011042]","Bonchi, Filippo [meta:ra/06011043]; Puglisi, Simon [meta:ra/063035032 orcid:0000-0001-7668-7636]"
"meta:br/0601869 doi:10.4230/lipics.mfcs.2020.3","List-Decodability Of Structured Ensembles Of Codes (Invited Talk)","Wootters, Mary [meta:ra/06010933]","","","[meta:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/06010934]","Esparza, Javier [meta:ra/062601506 orcid:0000-0001-9862-4919]; Král', Daniel [meta:ra/065071443 orcid:0000-0001-8680-0890]"
"meta:br/0601550 doi:10.5281/zenodo.5069006","Productividad Y Competitividad De La Industria Siderúrgica Mexicana: Análisis De Causalidad (1980-2017) / Productivity And Competitiveness Of The Mexican Steel Industry: Causality Analysis (1980-2017)","Alejo, Guillermo Aguilera [meta:ra/0609807 orcid:0000-0001-9537-9997]; Gómez, Mario [meta:ra/0625089084 orcid:0000-0002-4906-0966]; Calixto, Carmita Yisela Ramírez [meta:ra/0604634 orcid:0000-0002-3159-5057]","","","","","2021-07-30","book","Zenodo [meta:ra/0609808]",""
"meta:br/0601137 doi:10.4230/lipics.icalp.2021.8","Local Approximations Of The Independent Set Polynomial","Achlioptas, Dimitris [meta:ra/0608183]; Zampetakis, Kostas [meta:ra/0608184]","","","[meta:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0608185]","Bansal, Nikhil [meta:ra/0608186]; Merelli, Emanuela [meta:ra/068015430 orcid:0000-0002-1321-4134]; Worrell, James [meta:ra/0614045783 orcid:0000-0001-8151-2443]"
"meta:br/0601823 doi:10.4230/lipics.itcs.2021.82","Computation Over The Noisy Broadcast Channel With Malicious Parties","Efremenko, Klim [meta:ra/0613051859 orcid:0000-0003-3280-3927]; Kol, Gillat [meta:ra/06010811]; Paramonov, Dmitry [meta:ra/06010812]; Saxena, Raghuvansh R. [meta:ra/06010813]","","","[meta:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/06010814]","Lee, James R. [meta:ra/06010815]"
"meta:br/0601174 doi:10.4230/lipics.icdt.2021.5","Ranked Enumeration Of Conjunctive Query Results","Deep, Shaleen [meta:ra/0608295]; Koutris, Paraschos [meta:ra/0608296]","","","[meta:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0608297]","Yi, Ke [meta:ra/0614077420 orcid:0000-0002-2178-3716]; Wei, Zhewei [meta:ra/06404789011 orcid:0000-0003-3620-5086]"
"meta:br/0601404 doi:10.13155/81640","C-RAID Final Activity Report - Lot1","Zunino, Patricia [meta:ra/062021254 orcid:0000-0001-7057-7049]; Rannou, Jean Philippe [meta:ra/0609236]; Mazurier, Alain [meta:ra/0609237]","","","","","2020","book","Ifremer [meta:ra/0609238]",""
"meta:br/0601139 doi:10.4230/lipics.icalp.2021.83","Fully Dynamic Algorithms For Minimum Weight Cycle And Related Problems","Karczmarz, Adam [meta:ra/061087056 orcid:0000-0002-2693-8713]","","","[meta:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0608193]","Bansal, Nikhil [meta:ra/0608194]; Merelli, Emanuela [meta:ra/068015430 orcid:0000-0002-1321-4134]; Worrell, James [meta:ra/0614045783 orcid:0000-0001-8151-2443]"
"meta:br/0601208 doi:10.13155/34948","WGACEGG2014 EchoR Training Course","Doray, Mathieu [meta:ra/069064173 orcid:0000-0001-6498-3366]","","","","","2014","book","Ifremer [meta:ra/0608499]",""
"meta:br/0601816 doi:10.4230/lipics.itcs.2021.74","Randomness And Fairness In Two-Sided Matching With Limited Interviews","Beyhaghi, Hedyeh [meta:ra/06010784]; Tardos, Éva [meta:ra/06010785]","","","[meta:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/06010786]","Lee, James R. [meta:ra/06010787]"
"meta:br/0601024 doi:10.4230/lipics.icalp.2020.62","d-To-1 Hardness Of Coloring 3-Colorable Graphs With O(1) Colors","Guruswami, Venkatesan [meta:ra/0607785]; Sandeep, Sai [meta:ra/0607786]","","","[meta:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0607787]","Artur Czumaj [meta:ra/0607590 orcid:0000-0002-7743-438X]; Dawar, Anuj [meta:ra/067073847 orcid:0000-0003-4014-8248]; Merelli, Emanuela [meta:ra/068015430 orcid:0000-0002-1321-4134]"
"meta:br/0601942 doi:10.4230/lipics.mfcs.2021.53","A Bit Of Nondeterminism Makes Pushdown Automata Expressive And Succinct","Guha, Shibashis [meta:ra/06705455476 orcid:0000-0002-9814-6651]; Jecker, Ismaël [meta:ra/06011138 orcid:0000-0002-6527-4470]; Lehtinen, Karoliina [meta:ra/067062028 orcid:0000-0003-1171-8790]; Zimmermann, Martin [meta:ra/063018710 orcid:0000-0002-8038-2453]","","","[meta:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/06011139]","Bonchi, Filippo [meta:ra/06011140]; Puglisi, Simon [meta:ra/063035032 orcid:0000-0001-7668-7636]"
"meta:br/0601887 doi:10.4230/lipics.mfcs.2020.56","Continuous And Monotone Machines","Konečný, Michal [meta:ra/0612046756 orcid:0000-0003-2374-9017]; Steinberg, Florian [meta:ra/06010979]; Thies, Holger [meta:ra/0650100070 orcid:0000-0003-3959-0741]","","","[meta:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/06010980]","Esparza, Javier [meta:ra/062601506 orcid:0000-0001-9862-4919]; Král', Daniel [meta:ra/065071443 orcid:0000-0001-8680-0890]"
"meta:br/0601233 doi:10.13155/45915","SCOR WG 142: Quality Control Procedures For Oxygen And Other Biogeochemical Sensors On Floats And Gliders. Recommendations On The Conversion Between Oxygen Quantities For Bio-Argo Floats And Other Autonomous Sensor Platforms","Bittig, Henry [meta:ra/06209760 orcid:0000-0002-8621-3095]; Körtzinger, Arne [meta:ra/0608634]; Johnson, Ken [meta:ra/0608635]; Claustre, Herve [meta:ra/0608636]; Emerson, Steve [meta:ra/0608637]; Fennel, Katja [meta:ra/0608638]; Garcia, Hernan [meta:ra/0608639]; Gilbert, Denis [meta:ra/0608640]; Gruber, Nicolas [meta:ra/0608641]; Kang, Dong-Jin [meta:ra/0608642]; Naqvi, Wajih [meta:ra/0608643]; Prakash, Satya [meta:ra/0608644]; Riser, Steven [meta:ra/0608645]; Thierry, Virginie [meta:ra/06209350 orcid:0000-0003-1602-6478]; Tilbrook, Bronte [meta:ra/0608646]; Uchida, Hiroshi [meta:ra/0608647]; Ulloa, Osvaldo [meta:ra/0608648]; Xing, Xiaogang [meta:ra/0608649]","","","","","2018","book","Ifremer [meta:ra/0608650]",""
"meta:br/0601855 doi:10.4230/lipics.mfcs.2020.1","Concurrent Games With Arbitrarily Many Players (Invited Talk)","Bertrand, Nathalie [meta:ra/063018963 orcid:0000-0002-9957-5394]","","","[meta:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/06010898]","Esparza, Javier [meta:ra/062601506 orcid:0000-0001-9862-4919]; Král', Daniel [meta:ra/065071443 orcid:0000-0001-8680-0890]"
"meta:br/0601041 doi:10.4230/lipics.icalp.2020.8","Asynchronous Majority Dynamics In Preferential Attachment Trees","Bahrani, Maryam [meta:ra/0607833]; Immorlica, Nicole [meta:ra/0607834]; Mohan, Divyarthi [meta:ra/0607835]; Weinberg, S. Matthew [meta:ra/0607836]","","","[meta:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0607837]","Artur Czumaj [meta:ra/0607590 orcid:0000-0002-7743-438X]; Dawar, Anuj [meta:ra/067073847 orcid:0000-0003-4014-8248]; Merelli, Emanuela [meta:ra/068015430 orcid:0000-0002-1321-4134]"
"meta:br/0601896 doi:10.4230/lipics.mfcs.2020.71","A Timecop’s Work Is Harder Than You Think","Morawietz, Nils [meta:ra/06010998]; Rehs, Carolin [meta:ra/06010999]; Weller, Mathias [meta:ra/0622098758 orcid:0000-0002-9653-3690]","","","[meta:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/06011000]","Esparza, Javier [meta:ra/062601506 orcid:0000-0001-9862-4919]; Král', Daniel [meta:ra/065071443 orcid:0000-0001-8680-0890]"
"meta:br/0601265 doi:10.13155/51746","Rapport De Campagne. VIDEOCOR1-02. Septembre 2017","Fabri, Marie-Claire [meta:ra/06309375 orcid:0000-0002-3505-7627]","","","","","2017","book","Ifremer [meta:ra/0608755]",""
"meta:br/0601386 doi:10.13155/79482","Etude Du Risque D’Effet Des Espèces Halieutiques À L’Éolien Flottant Dans Le Golfe Du Lion: Rapport Technique Et Méthodologique","De Rock, Pauline [meta:ra/0609175]; Hattab, Tarek [meta:ra/0609176]; Vaz, Sandrine [meta:ra/0615010619 orcid:0000-0002-7365-8335]","","","","","2021","book","Ifremer [meta:ra/0609177]",""
"meta:br/0601778 doi:10.4230/lipics.itcs.2021.19","Self-Testing Of A Single Quantum Device Under Computational Assumptions","Metger, Tony [meta:ra/062605471503 orcid:0000-0002-3108-8100]; Vidick, Thomas [meta:ra/0625013780 orcid:0000-0002-6405-365X]","","","[meta:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/06010621]","Lee, James R. [meta:ra/06010622]"
"meta:br/0601879 doi:10.4230/lipics.mfcs.2020.41","Fractional Covers Of Hypergraphs With Bounded Multi-Intersection","Gottlob, Georg [meta:ra/06010959]; Lanzinger, Matthias [meta:ra/06010960]; Pichler, Reinhard [meta:ra/06010961]; Razgon, Igor [meta:ra/06010962]","","","[meta:br/060182 issn:1868-8969]","","2020","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/06010963]","Esparza, Javier [meta:ra/062601506 orcid:0000-0001-9862-4919]; Král', Daniel [meta:ra/065071443 orcid:0000-0001-8680-0890]"
"meta:br/0601637 doi:10.12759/hsr.45.2020.4.347-374","Zunehmende Und Abnehmende Machtungleichheiten: Eine Prozess-Soziologische Perspektive. Eine Antwort Auf Cas Wouters Und Ein Vorschlag Zur Verdeutlichung","Wilterdink, Nico [meta:ra/06010072]","","","<P>Historical Social Research / Historische Sozialforschung Vol. 45 [meta:br/0602344 issn:0172-6404]","Volumes per year: 1</p>-Volumes per year: 1</p>","2020","report","Gesis - Leibniz-Institut Für Sozialwissenschaften [meta:ra/06010073]","GESIS-Leibniz-Institut Für Sozialwissenschaften [meta:ra/06010074]"
"meta:br/0601516 doi:10.5281/zenodo.4441242","The First Gospel, The Gospel Of The Poor: A New Reconstruction Of Q And Resolution Of The Synoptic Problem Based On Marcion's Early Luke","Bilby, Mark G. [meta:ra/06260102720 orcid:0000-0003-0100-6634]","","","","","2021-01-14","book","Zenodo [meta:ra/0609540]",""
"meta:br/0601279 doi:10.13155/55134","Inter-comparaison Des Mesures De Courant Dans l'Atlantique Tropical","Habasque, Jérémie [meta:ra/0608827]; Herbert, Gaelle [meta:ra/0608828]","","","","","2018","book","Coriolis [meta:ra/0608829]",""
"meta:br/0601239 doi:10.13155/46542","Argo Quality Control Manual For Dissolved Oxygen Concentration","Thierry, Virginie [meta:ra/06209350 orcid:0000-0003-1602-6478]; Bittig, Henry [meta:ra/06209760 orcid:0000-0002-8621-3095]; The Argo-Bgc Team [meta:ra/0608679]","","","","","2021","book","Argo-BGC Group [meta:ra/0608680]",""
"meta:br/0601131 doi:10.4230/lipics.icalp.2021.72","Crossing-Optimal Extension Of Simple Drawings","Ganian, Robert [meta:ra/064090796 orcid:0000-0002-7762-8045]; Hamm, Thekla [meta:ra/0618087911 orcid:0000-0002-4595-9982]; Klute, Fabian [meta:ra/0613079819 orcid:0000-0002-7791-3604]; Parada, Irene [meta:ra/0613079820 orcid:0000-0003-3147-0083]; Vogtenhuber, Birgit [meta:ra/0611049410 orcid:0000-0002-7166-4467]","","","[meta:br/060182 issn:1868-8969]","","2021","report","Schloss Dagstuhl - Leibniz-Zentrum Für Informatik [meta:ra/0608159]","Bansal, Nikhil [meta:ra/0608160]; Merelli, Emanuela [meta:ra/068015430 orcid:0000-0002-1321-4134]; Worrell, James [meta:ra/0614045783 orcid:0000-0001-8151-2443]"
"meta:br/0601429 doi:10.24351/78701","First Record Of The Species Pseudobalistes Flavimarginatus At The Chesterfield-Bellona Reef Complex In The Coral Sea Marine Park","Pelletier, Dominique [meta:ra/06209148 orcid:0000-0003-2420-1942]; Powell, Abigail [meta:ra/0609331]; Roman, William [meta:ra/0609332]; Carpentier, Liliane [meta:ra/0609333]","","","","","2021","book","Ifremer [meta:ra/0609334]",""
"meta:br/0601251 doi:10.13155/49827","First Release Of The SeaDataNet Aggregated Data Sets Products","Simoncelli, Simona [meta:ra/06209188 orcid:0000-0003-1283-2798]; Tonani, Marina [meta:ra/0621069799 orcid:0000-0001-5452-3251]; Grandi, Alessandro [meta:ra/0608702 orcid:0000-0002-7372-3184]; Coatanoan, Christine [meta:ra/06209395 orcid:0000-0001-9387-1793]; Myroshnychenko, Volodymyr [meta:ra/0608703]; Sagen, Helge [meta:ra/0608704 orcid:0000-0002-0643-8359]; Bäck, Örjan [meta:ra/0608705]; Scory, Serge [meta:ra/062305294322 orcid:0000-0003-2692-8651]; Schlitzer, Reiner [meta:ra/067055512 orcid:0000-0002-3740-6499]; Fichaut, Michele [meta:ra/0613012288 orcid:0000-0001-5900-6149]","","","","","2014","book","SeaDataNet [meta:ra/0608706]",""
"meta:br/0601283 doi:10.13155/55637","BGC-Argo Synthetic Profile File Processing And Format On Coriolis GDAC","Bittig, Henry [meta:ra/06209760 orcid:0000-0002-8621-3095]; Wong, Annie [meta:ra/0608835]; Plant, Josh [meta:ra/0608836]","","","","","2021","book","Ifremer [meta:ra/0608837]",""
